# W2 W3 ItemPileOneAvg OrdersHandled DistanceTraveled TripCount OrderThroughputTimeAvg OrderTurnoverTimeAvg OrderPileOneAvg 
4.05 4.213333333333333 7.90752688172043 501 5103.560923879427 304 100.03011794469245 446.03138664504195 5.114708141321045
0.05 0.3766666666666667 7.6246046805819105 479 4933.007735643523 301 92.20410557387912 427.24326665287464 4.998734977862113
0.55 0.8766666666666667 7.753991528185076 493 4978.8749906890735 301 88.94913432922094 444.5221840178688 5.104268491365265
1.05 1.3766666666666667 7.353178847296494 483 5029.069340147001 318 97.71752003712473 466.25937676576166 4.736049571343689
1.55 1.8766666666666667 7.067857142857143 468 5203.215173526412 312 99.82395098615194 424.66314729374267 4.597321428571429
2.05 2.376666666666667 7.5834818775995245 499 4975.180065434545 309 86.8678926816367 464.3763287967334 5.043170677361854
2.55 2.876666666666667 7.907435958254268 498 4891.539999999994 299 95.65315307377607 470.92916567881025 5.151268975332068
3.05 3.376666666666667 7.303551097858499 477 5135.132031113347 307 95.44571986507485 450.6062124589127 4.823104725761272
3.55 3.876666666666667 7.447916666666667 490 4971.670270584846 310 92.15283561500819 425.78299049879666 4.939814814814815
4.05 4.376666666666667 7.839658444022771 483 4881.647518048753 299 91.79259953858059 452.71856954628964 5.043643263757116
0.05 0.54 7.245816801794032 467 5224.232571888147 304 92.82963899863742 448.15786801715836 4.7838153834358765
0.55 1.04 7.640120967741936 490 4837.2565094604 293 93.42612829406713 445.9238274283716 5.154233870967742
1.05 1.54 6.8142616642616645 463 5300.802882442296 319 97.28923919810526 477.20091928060083 4.470634920634921
1.55 2.04 7.202198455139633 477 5174.025542847667 314 96.7277657979735 463.7582849280072 4.6808165690518635
2.05 2.54 7.434343434343433 488 4886.952424247715 304 93.8575289711085 441.6578179080626 4.92929292929293
2.55 3.04 7.223041474654379 468 5114.631737014534 310 96.59563177147204 449.086958371479 4.670967741935484
3.05 3.54 7.461952861952862 478 5051.537910341402 308 94.55137211902594 446.75493938004723 4.883501683501684
3.55 4.04 7.409477124183006 484 4920.565119108341 304 95.33202097598492 437.2010079349802 4.892374727668845
4.05 4.54 7.162804515745692 462 5007.375956727956 310 108.17102136225962 490.43649212721107 4.623291740938799
0.198 0.05 7.234943977591037 474 5016.3566105468535 310 102.15149085675094 466.9149128519956 4.692016806722689
0.698 0.55 6.973063973063973 469 5021.151861728391 305 94.17429648262369 456.90306579115094 4.654987373737374
1.198 1.05 6.841290488349312 463 5171.954201908958 322 90.80359874515108 469.17104511333036 4.484695925872397
1.698 1.55 7.1030133265427375 470 5129.750316227225 316 101.47202973447655 480.31167039279717 4.621212121212121
2.198 2.05 7.037698412698414 485 5119.13617314846 318 94.50883319127244 442.4528089684764 4.7369708994709
2.698 2.55 7.157754010695187 463 5151.060355637126 316 98.64279410853351 430.03696796134756 4.583778966131908
3.198 3.05 7.246843434343435 465 5065.213179081884 308 95.5519850556387 448.4698737837469 4.747159090909091
3.698 3.55 7.46875 496 5110.15005334389 312 89.71993710139199 447.1010940700066 5.00462962962963
4.198 4.05 7.3302510398098635 472 5178.782893381581 305 94.3904294914217 455.62837278471153 4.769997771836007
0.198 0.21333333333333337 7.599324003795066 476 5025.007514177942 300 98.80900488903835 488.73583714135106 4.925264864010121
0.698 0.7133333333333334 7.8654188948306585 495 4892.826385292417 298 89.00687238808877 457.6223967829205 5.133273915626857
1.198 1.2133333333333334 7.041394335511982 472 5228.653215652917 325 99.54909867295277 458.8208377258387 4.5435729847494555
1.698 1.7133333333333334 6.984619302266361 467 5118.791223026511 316 94.46394721078332 456.305976942735 4.585926491808845
2.198 2.2133333333333334 7.543876262626263 492 4913.131954429745 300 92.46292531824845 444.6592823791419 5.014204545454546
2.698 2.7133333333333334 6.735183770477889 451 5187.440382263993 314 97.76921084384514 467.7631044955405 4.428749681690858
